한글,영어,카테고리
가능하다,possible,형용사
가르치다,teach,동사
가볍다,light,형용사
가장,most,부사
각각,each,형용사
간단하다,simple,형용사
감동,impression,명사
감사하다,thank,동사
강하다,strong,형용사
개인,individual,명사
거의,almost,부사
건강,health,명사
경험,experience,명사
계속,continue,부사
고르다,choose,동사
공부,study,명사
공원,park,명사
관계,relationship,명사
구별,distinction,명사
규칙,rule,명사
그러나,however,접속사
그러므로,therefore,접속사
기억,memory,명사
기회,opportunity,명사
긴장,tension,명사
꿈,dream,명사
나타나다,appear,동사
날씨,weather,명사
낮다,low,형용사
넓다,wide,형용사
노력,effort,명사
놀라다,surprise,동사
높다,high,형용사
느끼다,feel,동사
능력,ability,명사
다르다,different,형용사
다양하다,various,형용사
달성하다,achieve,동사
대부분,most,명사
대화,conversation,명사
도전,challenge,명사
돕다,help,동사
동의하다,agree,동사
두렵다,afraid,형용사
따르다,follow,동사
마지막,last,형용사
만약,if,접속사
모든,every,형용사
목표,goal,명사
문제,problem,명사
미래,future,명사
믿다,believe,동사
반드시,must,부사
발전,development,명사
방법,method,명사
배우다,learn,동사
변화,change,명사
보호하다,protect,동사
복잡하다,complex,형용사
부족하다,lack,동사
분명하다,clear,형용사
비교하다,compare,동사
비슷하다,similar,형용사
사실,fact,명사
사용하다,use,동사
사회,society,명사
상황,situation,명사
새롭다,new,형용사
생각,thought,명사
서로,each other,부사
선택하다,choose,동사
설명하다,explain,동사
성공,success,명사
세계,world,명사
소개하다,introduce,동사
소중하다,precious,형용사
솔직하다,honest,형용사
수업,class,명사
쉽다,easy,형용사
시간,time,명사
시작하다,start,동사
신뢰,trust,명사
실수,mistake,명사
심각하다,serious,형용사
안전하다,safe,형용사
어렵다,difficult,형용사
여행,travel,명사
역사,history,명사
연습,practice,명사
열심히,hard,부사
영향,influence,명사
예의,manner,명사
완성하다,complete,동사
요청하다,request,동사
용기,courage,명사
원하다,want,동사
유명하다,famous,형용사
이해하다,understand,동사
인터넷,internet,명사
일반,general,형용사
자신,self,명사
자신감,confidence,명사
자연,nature,명사
자유,freedom,명사
작다,small,형용사
잘못,wrong,명사
정보,information,명사
정직하다,honest,형용사
조심하다,careful,동사
